target_side,target_time,cue_side,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block0.thisRepN,block0.thisTrialN,block0.thisN,block0.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,trialKey.keys,trialKey.rt,date,frameRate,expName,session,participant,
none,350,left,,,,,1,1,25,19,,,,,None,,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
right,50,right,,,,,1,2,26,5,,,,,space,0.920174700974,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
right,200,right,,,,,1,3,27,13,,,,,space,1.00658561353,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
none,200,right,,,,,1,4,28,15,,,,,None,,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
left,200,right,,,,,1,5,29,12,,,,,space,1.00929692182,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
none,50,right,,,,,1,6,30,7,,,,,space,1.00154537797,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
left,350,left,,,,,1,7,31,16,,,,,space,1.15417238783,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
central,50,right,,,,,1,8,32,6,,,,,space,0.890621713095,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
none,200,left,,,,,1,9,33,11,,,,,space,1.02157019956,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
right,200,left,,,,,1,10,34,9,,,,,space,1.04475505965,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
left,50,left,,,,,1,11,35,0,,,,,space,1.12679830816,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
right,50,left,,,,,1,12,36,1,,,,,space,0.954549251371,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
right,350,left,,,,,1,13,37,17,,,,,space,1.23277378829,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
none,50,left,,,,,1,14,38,3,,,,,None,,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
central,200,left,,,,,1,15,39,10,,,,,space,0.983672924911,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
none,350,right,,,,,1,16,40,23,,,,,None,,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
