target_side,target_time,cue_side,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block0.thisRepN,block0.thisTrialN,block0.thisN,block0.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,trialKey.keys,trialKey.rt,date,frameRate,expName,session,participant,
left,200,right,,,,,1,5,29,12,,,,,space,1.12647242876,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,50,right,,,,,1,6,30,7,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,350,left,,,,,1,7,31,16,,,,,space,1.22777217496,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,50,right,,,,,1,8,32,6,,,,,space,0.9782967528,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,200,left,,,,,1,9,33,11,,,,,space,0.862962960377,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,200,left,,,,,1,10,34,9,,,,,space,1.09333979598,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,50,left,,,,,1,11,35,0,,,,,space,1.00304626705,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,50,left,,,,,1,12,36,1,,,,,space,0.970908383608,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,350,left,,,,,1,13,37,17,,,,,space,1.192737834,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,50,left,,,,,1,14,38,3,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,200,left,,,,,1,15,39,10,,,,,space,0.864118204968,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,350,right,,,,,1,16,40,23,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,50,left,,,,,1,17,41,2,,,,,space,0.887093052329,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,200,left,,,,,1,18,42,8,,,,,space,1.08527361718,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,200,right,,,,,1,19,43,14,,,,,space,1.34852299664,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,350,left,,,,,1,20,44,18,,,,,space,1.19194108469,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,350,right,,,,,1,21,45,20,,,,,space,1.27790550196,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,350,right,,,,,1,22,46,22,,,,,space,1.30098553028,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,50,right,,,,,1,23,47,4,,,,,space,1.20027859686,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,50,left,,,,,2,0,48,3,,,,,space,0.993725040473,2014_II_03_1726,303.819230038,ior,001,Ivan,
